Site_ID,Cluster_3,Site,Region,Location,Neolithic,Neolithic_class,Chalcolithic,Chalcolithic_class,Bronze_Age,Bronze_class,Iron_Age,Iron_class,Roman,Roman_class,Ear_Byz,Ear_Byz_class,F1st_Bul_Emp,F1st_Bul_Emp_class,F2nd_Bul_Emp,F2nd_Bul_Emp_class,Material_general,Exposure_class,Exposure_tx,Int_Status,Nat_Status,DEM_,Slope_,Aspect_cos_,Aspect_sin_,FL_Dist,FL_Depth,rusle_cluster,rusle_log,Rusle_MTH,FWI,Final_FWI,FWI_MTH,FWI_dist_m,FWI_DIST,ELSUS,ELSUS_MTH,ELSUS_DIST,PGA,Lithology,CLC_code,CLC_text,SEIS_SCR,FLOOD_SCR,FWI_SCR,ELSUS_SCR,RUSLE_SCR,ASSET_SCR,GI_Status,SUM_Changed_Num,WLC_RISK,RISK_CLASS
SITE_0001,1,Ahtopol Fortress,Burgas,Ahtopol,0,,0,,0,,1,Hillfort,1,Fort,1,Fortress,1,Fortress,1,Fortress,Mortared stone masonry,1,Exposed,,Architectural-construction,17.4893494,5.7058139,0.8520011,-0.3607546,4179.3945312,0.0000000,,0.839005624828902,Coastal excl.,8.529411764705882,8.033333333333333,Nearest valid cell,19820.118620890676539,19815.053590296847688,3,Near≤400m,366.543232355358498,0.072481990000000,Intermediate Volcanic,112,Discontinuous urban fabric,1,1,3,5,,1,99% cold spot,0.000000000000000,2.187942650592102,Low
SITE_0002,1,Kozareva Mogila,Burgas,Beronovo,0,,0,,1,Burial mound,1,Thracian mound,0,,0,,0,,0,,Earthwork (earthen burial mound),2,Partially exposed,,,87.1552582,3.5031383,-0.0212301,-0.9644277,15227.7939453,0.0000000,1.0407733,0.713328791186959,Direct,18.000000000000000,12.466666666666667,Direct,-1.000000000000000,0.000000000000000,2,Direct,77.790560050599808,0.096770786000000,Undifferentiated Sediment,211,Non-irrigated arable land,1,1,3,3,3,7,99% cold spot,0.000000000000000,3.029679329228782,Low
SITE_0003,1,Poros Fortress,Burgas,Burgas,0,,0,,0,,0,,1,Fort,0,,0,,0,,Mortared stone masonry,1,Exposed,,,1.2694054,5.1308231,0.3690551,-0.8839553,110.2410278,0.0000000,,0.839005624828902,Coastal excl.,18.000000000000000,12.600000000000000,Direct,-1.000000000000000,0.000000000000000,3,Near≤400m,185.409311543576138,0.083879770000000,Lake Sediment,512,Water bodies,1,5,3,5,,1,99% cold spot,0.000000000000000,2.322316885660033,Low
SITE_0004,1,Cape Akra settlement,Burgas,Chernomorets,0,,0,,0,,1,Fortified settlement,1,Town,1,Fortified town,0,,1,Fortified settlement,Mortared stone masonry,1,Exposed,,Archaeological (single),19.6135292,6.0938268,-0.8202240,-0.1817855,6422.0312500,0.0000000,,0.839005624828902,Coastal excl.,13.882352941176471,12.600000000000000,Nearest valid cell,11492.690267269901597,11433.834487045118294,,NoData>400m,618.885801210303043,0.088258750000000,,321,Natural grasslands,1,1,3,,,1,99% cold spot,0.000000000000000,1.745816912757584,Very Low
SITE_0005,1,Deultum,Burgas,Debelt,0,,0,,0,,0,,1,Town,1,Fortified town,1,Fortified settlement,0,,Mortared stone masonry,1,Exposed,,National Reserve,10.6777821,2.1390784,-0.9891985,0.0617625,130.0000000,0.0000000,,0.839005624828902,Urban excl.,26.000000000000000,21.266666666666666,Direct,-1.000000000000000,0.000000000000000,1,Direct,45.596879407717310,0.088321020000000,Intermediate Volcanic,242,Complex cultivation patterns,1,5,5,1,,1,99% cold spot,0.000000000000000,2.423348994389111,Low
SITE_0006,1,Gornoto Gradishte,Burgas,Debelt,0,,0,,0,,0,,0,,0,,0,,1,Fortified settlement,Mortared stone masonry,1,Exposed,,Architectural-construction,28.6198483,4.1818275,0.0739474,-0.9623640,149.9953308,0.0000000,1.8888077,1.060843840652482,Direct,26.000000000000000,21.266666666666666,Direct,-1.000000000000000,0.000000000000000,1,Direct,109.562937860652511,0.088321020000000,Intermediate Volcanic,231,Pastures,1,5,5,1,3,1,99% cold spot,0.000000000000000,2.474148478997223,Low
SITE_0007,1,Antimovo Fortress,Burgas,Ekzarh Antimovo,0,,0,,0,,0,,1,Fort,1,Fortress,0,,0,,Mortared stone masonry,1,Exposed,,Architectural-construction,263.7221069,4.7290554,-0.6057426,-0.7945079,5631.0712891,0.0000000,7.7880158,2.173388957256031,Direct,35.000000000000000,28.966666666666665,Direct,-1.000000000000000,0.000000000000000,3,Direct,58.463910334209729,0.111783870000000,Intermediate Volcanic,231,Pastures,3,1,7,5,7,1,90% cold spot,0.000000000000000,4.374991710713660,Moderate
SITE_0008,1,Poros Fortress wall,Burgas,Foros Peninsula,0,,0,,0,,0,,1,Fort,1,Fortress,0,,0,,Mortared stone masonry,1,Exposed,,Archaeological (single),8.3215857,5.8708434,-0.8831865,0.4559638,100.0000000,0.0000000,,0.839005624828902,Coastal excl.,18.000000000000000,12.600000000000000,Direct,-1.000000000000000,0.000000000000000,,NoData>400m,607.056782591897331,0.090596450000000,,121,Industrial or commercial units,1,7,3,,,1,99% cold spot,3.000000000000000,1.979068750532837,Very Low
SITE_0009,1,Dolmen Dragon house,Burgas,Granichar,0,,0,,0,,1,Thracian Dolmen,0,,0,,0,,0,,Dry stone masonry,3,Mostly subsurface,,Architectural-construction,134.3340149,2.2332652,-0.1451289,0.3841878,21551.0507812,0.0000000,0.0181588,0.017995926429582,Direct,16.882352941176471,15.533333333333333,Nearest valid cell,21670.595668439353176,21670.595668439353176,3,Direct,95.878517272919112,0.073700730000000,Intermediate Volcanic,311,Broad-leaved forest,1,1,3,5,1,5,99% cold spot,0.000000000000000,2.761951633910441,Low
SITE_0010,1,Urdoviza Fortress,Burgas,Kiten,0,,0,,1,Enclosure,1,Hillfort,1,Fort,1,Fortress,1,Fortress,0,,Mortared stone masonry,1,Exposed,,Architectural-construction,15.7930355,4.0021615,0.1314884,-0.9305889,17227.6484375,0.0000000,,0.839005624828902,Urban excl.,16.882352941176471,15.533333333333333,Nearest valid cell,23276.299842137697851,23262.475931691646110,4,Direct,96.429557822840238,0.071769700000000,Undifferentiated Sediment,112,Discontinuous urban fabric,1,1,3,7,,1,99% cold spot,0.000000000000000,2.459670286057857,Low
