Site_ID,Site,Cluster_3,WLC_RISK,GiZScore,GiPValue,NNeighbors,Gi_Bin
SITE_0001,Ahtopol Fortress,1,2.187942650590000,-4.192393392340000,0.000027602680514,9,-3
SITE_0002,Kozareva Mogila,1,3.029679329230000,-3.891800237210000,0.000099503157478,9,-3
SITE_0003,Poros Fortress,1,2.322316885660000,-4.349894907570000,0.000013620279124,9,-3
SITE_0004,Cape Akra settlement,1,1.745816912760000,-4.253564694480000,0.000021039411619,9,-3
SITE_0005,Deultum,1,2.423348994390000,-4.228258702870000,0.000023550690815,9,-3
SITE_0006,Gornoto Gradishte,1,2.474148479000000,-3.977857759080000,0.000069538947950,9,-3
SITE_0007,Antimovo Fortress,1,4.374991710710000,-1.667192786310000,0.095476076674200,9,-1
SITE_0008,Poros Fortress wall,1,1.979068750530000,-4.763931897910000,0.000001898566045,9,-3
SITE_0009,Dolmen Dragon house,1,2.761951633910000,-3.935847284290000,0.000082903681959,9,-3
SITE_0010,Urdoviza Fortress,1,2.459670286060000,-3.935847284290000,0.000082903681959,9,-3
SITE_0011,Gradishte Fortress II,1,3.518960035890000,-0.955988890318000,0.339077859210000,9,0
SITE_0012,Mishkova Niva,2,3.165557606700000,-3.558285081050000,0.000373284045812,9,-3
SITE_0013,Necropolis City of the dead,1,3.349071491570000,-3.558285081050000,0.000373284045812,9,-3
SITE_0014,Golyamoto Kale,1,2.423213902600000,-3.682788726670000,0.000230696348277,9,-3
SITE_0015,Church of Christ Pantokrator,1,2.176432474650000,-4.687349001850000,0.000002767667640,9,-3
SITE_0016,Church of St. John Aliturgetos,1,2.176432474650000,-4.687349001850000,0.000002767667640,9,-3
SITE_0017,Church of St. John the Baptist,1,2.176432474650000,-4.759785981810000,0.000001937983480,9,-3
SITE_0018,Church of St. Paraskeva,1,2.176432474650000,-4.759785981810000,0.000001937983480,9,-3
SITE_0019,Church of St. Stefan,1,2.176432474650000,-4.687349001850000,0.000002767667640,9,-3
SITE_0020,Church of St. Theodore,1,2.176432474650000,-4.759785981810000,0.000001937983480,9,-3
SITE_0021,Church of St. Vlahara,1,2.176432474650000,-4.759785981810000,0.000001937983480,9,-3
SITE_0022,Church of the Holy Archangels,1,2.176432474650000,-4.759785981810000,0.000001937983480,9,-3
SITE_0023,Fortification of Mesembria Pontica,1,2.491633825520000,-4.687349001850000,0.000002767667640,9,-3
SITE_0024,Foundations of Basilica Eliusa,1,2.176432474650000,-4.759785981810000,0.000001937983480,9,-3
SITE_0025,Mesembria Terms,1,1.745816912760000,-4.759785981810000,0.000001937983480,9,-3
SITE_0026,Mesembria West St. John,1,4.320871980970000,-4.194531565890000,0.000027343607334,9,-3
SITE_0027,Stara Mitropolia,1,2.176432474650000,-4.759785981810000,0.000001937983480,9,-3
SITE_0028,Anchialos Building,1,1.587711918590000,-4.063197741110000,0.000048404990025,9,-3
SITE_0029,Anchialos Christian Church,1,1.916215015130000,-4.063197741110000,0.000048404990025,9,-3
SITE_0030,Anchialos Church,1,2.288325502810000,-4.063197741110000,0.000048404990025,9,-3
SITE_0031,Anchialos Fortification,1,1.916215015130000,-4.063197741110000,0.000048404990025,9,-3
SITE_0032,Anchialos Necropolis,1,3.032546478160000,-4.063197741110000,0.000048404990025,9,-3
SITE_0033,Pomorie tomb,1,2.351019744750000,-4.063197741110000,0.000048404990025,9,-3
SITE_0034,Begliktash,1,2.761951633910000,-3.935847284290000,0.000082903681959,9,-3
SITE_0035,Chengerska mound,1,2.853491360720000,-3.935847284290000,0.000082903681959,9,-3
SITE_0036,Mound Stamopolu,1,2.853491360720000,-3.935847284290000,0.000082903681959,9,-3
SITE_0037,Oriospotamo,1,1.745816912760000,-3.679301176240000,0.000233873941071,9,-3
SITE_0038,Ranuli Fortress,1,2.331082114860000,-3.935847284290000,0.000082903681959,9,-3
SITE_0039,Thera Fortress foundation,1,1.670823634760000,-3.935847284290000,0.000082903681959,9,-3
SITE_0040,Rusokastro Fortress,1,2.918794033450000,-3.816051580910000,0.000135604168872,9,-3
SITE_0041,Apollonia Pontica Cape Skamni,1,1.745816912760000,-4.120844659320000,0.000037748589220,9,-3
SITE_0042,Apollonia Pontica Chapel,1,2.831780773740000,-4.095013923440000,0.000042214301746,9,-3
SITE_0043,Fortification of St. John Monastery,1,3.037663598440000,-4.095013923440000,0.000042214301746,9,-3
SITE_0044,Island St. Kirik and St. Julita,1,1.745816912760000,-4.095013923440000,0.000042214301746,9,-3
SITE_0045,Mesarite,1,3.688401283810000,-3.322622521830000,0.000891754993867,9,-3
SITE_0046,Monastery of St. John the Baptist,1,2.176432474650000,-4.095013923440000,0.000042214301746,9,-3
SITE_0047,Necropolis of Apollonia I,1,3.304274113630000,-3.000985031360000,0.002691077933100,9,-3
SITE_0048,Necropolis of Apollonia II,1,3.576001749100000,-3.291508184490000,0.000996517169905,9,-3
SITE_0049,Necropolis of Apollonia III,1,3.576001749100000,-3.291508184490000,0.000996517169905,9,-3
SITE_0050,Sozopolis Southern Complex,1,2.176432474650000,-4.120844659320000,0.000037748589220,9,-3
SITE_0051,Sozopolis Southern Fortification,1,2.459670286060000,-4.095013923440000,0.000042214301746,9,-3
SITE_0052,St. Marina Oikos,1,3.440611218380000,-3.322622521830000,0.000891754993867,9,-3
SITE_0053,Via sacra,1,2.187942650590000,-3.322622521830000,0.000891754993867,9,-3
SITE_0054,Aquae Calidae,1,2.832430030250000,-4.351655201100000,0.000013511362757,9,-3
SITE_0055,Alexandrovo Tomb,1,6.131972806810000,4.086538574190000,0.000043785671544,9,3
SITE_0056,Asara Shrine and Fortress,1,4.270405839120000,2.320921621020000,0.020291074412300,9,2
SITE_0057,Dolmen Slavova Koriya,1,5.557307033000000,2.242362882020000,0.024937928703400,9,2
SITE_0058,Dolmen Gaidarov dolap,1,5.805097098420000,2.118523526920000,0.034130754570400,9,2
SITE_0059,Deaf Stones,2,7.530966644430000,3.842016642700000,0.000122027559791,9,3
SITE_0060,Cromlech,1,6.288223145420000,2.764082874470000,0.005708303916100,9,3
SITE_0061,Mound Dolno Botevo,1,6.732138809250000,3.783417992660000,0.000154689307557,9,3
SITE_0062,Kovan Kaya,1,4.987545916140000,2.540061567980000,0.011083295631600,9,2
SITE_0063,Kovan Kaya niches I,3,5.404898306470000,2.540061567980000,0.011083295631600,9,2
SITE_0064,Gledka mound I,1,6.732138809250000,4.052597904090000,0.000050652016078,9,3
SITE_0065,Gledka mound II,1,6.732138809250000,4.052597904090000,0.000050652016078,9,3
SITE_0066,Furnadzhika,2,5.827130832750000,3.425889101980000,0.000612790523739,9,3
SITE_0067,Dolmen Gorno Voyvodino,1,6.392809017010000,3.862340611360000,0.000112305836251,9,3
SITE_0068,Dolmen Nachovi chairi,1,4.969595114410000,2.118523526920000,0.034130754570400,9,2
