Cluster,Criterion,Valid_Runs,Mean_OCR_Chen,Max_OCR_Chen,Mean_Class_Change_Pct,Max_Class_Change_Pct
1,Seismic,10,0.061231683216041645,0.18009696648349882,0.9550561797752809,2.247191011235955
1,Wildfire,10,0.08231205212249751,0.20678484205790673,0.9550561797752809,2.247191011235955
1,Flood,10,0.008006362672322374,0.026687875574407917,0.16853932584269665,0.5617977528089888
1,Soil Erosion,10,0.023175150229763165,0.0769927536231884,0.3370786516853933,1.1235955056179776
1,Landslide,10,0.025786296153475368,0.10310421286031042,0.3370786516853933,1.1235955056179776
1,Asset Vulnerability,10,0.04629265882579774,0.20678484205790673,0.6179775280898877,1.6853932584269662
2,Seismic,10,0.08467741935483872,0.8467741935483871,0.7317073170731707,7.317073170731708
2,Wildfire,10,0.0,0.0,0.0,0.0
2,Flood,10,0.0,0.0,0.0,0.0
2,Soil Erosion,10,0.0,0.0,0.0,0.0
2,Landslide,10,0.08467741935483872,0.8467741935483871,0.7317073170731707,7.317073170731708
2,Asset Vulnerability,10,0.0,0.0,0.0,0.0
3,Seismic,10,0.7472222222222222,1.5,4.516129032258064,9.67741935483871
3,Wildfire,10,0.46597222222222223,1.5,3.5483870967741935,9.67741935483871
3,Flood,10,0.18472222222222223,1.5,1.2903225806451613,6.451612903225806
3,Soil Erosion,10,0.37083333333333335,1.5,3.225806451612903,9.67741935483871
3,Landslide,10,0.7243055555555555,1.5,4.838709677419354,6.451612903225806
3,Asset Vulnerability,10,0.4847222222222222,1.5,3.225806451612903,9.67741935483871
