Cluster,Checkpoint_Iterations,Compared_With,Mean_Abs_Change_in_Site_Mean,Max_Abs_Change_in_Site_Mean,Mean_Abs_Change_in_Site_SD,Max_Abs_Change_in_Site_SD
1,100,,,,,
1,250,100,0.0031737541776269873,0.009152657826452248,0.003367698505614205,0.012507540313167642
1,500,250,0.0012054877279875705,0.003955074063468622,0.0010720036832049325,0.0047351558775528685
1,750,500,0.0008524103252761351,0.0027309443207297335,0.001179854557279876,0.003967139234670999
1,1000,750,0.0024977019972438346,0.007697563076755287,0.0006370168653278319,0.0018782343727584139
2,100,,,,,
2,250,100,0.004928622930819123,0.010470894769720296,0.0008862316223407633,0.0023252387267147234
2,500,250,0.0019311481267113547,0.004580047959202638,0.0013440948832561393,0.003066956726199034
2,750,500,0.0008280384476972233,0.0018602706439558858,0.001109888574255266,0.003427693963333478
2,1000,750,0.00035967343327261367,0.0009294486286397508,0.0003044426751497985,0.0008547874665330371
3,100,,,,,
3,250,100,0.0019195342759765826,0.0037994216180932128,0.0013091224838319997,0.0033281533794934925
3,500,250,0.0012669597461455928,0.0026114226809701435,0.0010557699303274247,0.002905578624034136
3,750,500,0.0005491866631624146,0.0014747950086846373,0.0008141885130512636,0.0019516445838871216
3,1000,750,0.0009713980297101712,0.0022996874101615106,0.0004742592455496318,0.0011602431128252405
